1sauwɾ+Masc	1sauw	1sauwr
1nan+Masc	1na	1nan
1raɾ+Masc	1ra	1rar
1bul-ɣəɾ+Masc	1bul-ɣə	1bul-ɣər
1bɔn+Masc	1bɔ	1bɔn
1baɾ+Masc	1ba	1bar
1bajɾ+Masc	1baj	1bajr
1blan+Masc	1bla	1blan
1beɾ+Masc	1be	1ber
1ʎoɾ+Masc	1ʎo	1ʎɔr
1ɛuws-kəɾ+Masc	1ɛuws-kə	1ɛuws-kər
1ziŋ-ɡəɾ+Masc	1ziŋ-ɡə	1ziŋ-ɡər
bi-mu-1toɾ+Masc	bi-mu-1to	bi-mu-1tor
bi-1βi-pəɾ+Masc	bi-1βi-pə	bi-1βi-pər
bət-ʃi-1ʎeɾ+Masc	bət-ʃi-1ʎe	bət-ʃi-1ʎer
dək-ti-1lɔp-təɾ+Masc	dək-ti-1lɔp-tə	dək-ti-1lɔp-tər
		
[Inflection]		
UR	Predicted SR	Correct SR
kə-ɾə-1ɣɾos+Masc	kə-ɾə-1ɣɾos	kə-ɾə-1ɣɾɔs
kəɾ-1ði-ək+Fem	kəɾ-1ði-əkə	kəɾ-1ði-ə-kə
kəb-1moʃ+Masc	kəb-1moʃ	kab-1moʃ
kəb-1ɡɾos+Masc	kəb-1ɡɾos	kab-1ɡɾɔs
kəb-1baʃ+Masc	kəb-1baʃ	kab-1baʃ
kum-1plɛks+Fem	kum-1plɛksə	kum-1plɛk-sə
kun-1tiɣw+Masc	kun-1tiɣw	kun-1ti-ɣu
kul-1ɣɾos+Masc	kul-1ɣɾos	kul-1ɣɾɔs
kuʎ-1tɔrt+Masc	kuʎ-1tɔrt	kɔʎ-1tɔrt
im-pə-1ɾeʎ+Masc	im-pə-1ɾeʎ	im-pə-1ɾɛʎ
im-1pi+Masc	im-1pi	im-1piuw
im-1pɾɔpj+Fem	im-1pɾɔpjə	im-1pɾɔ-pjə
im-1pɾɔpj+Masc	im-1pɾɔpj	im-1pɾɔ-pi
i-pu-kun-1dɾi-ək+Fem	i-pu-kun-1dɾi-əkə	i-pu-kun-1dɾi-ə-kə
i-1nikw+Fem	i-1nikwə	i-1ni-kwə
i-1nikw+Masc	i-1nikw	i-1nik
i-1nep-tə+Masc	i-1nep-tə	i-1nɛp-tə
i-1li-ək+Fem	i-1li-əkə	i-1li-ə-kə
